cue_family,cue_group,cue_label,ces_variable,ces_population_score,ces_score,ces_shift
explicit_demographic,black_woman,I am a Black woman,CC25_321a,0.2573426991479737,0.5552004060223075,0.29785770687433377
implicit_political,red_state,Resident of red state,CC25_321a,0.2573426991479737,0.1635962547114187,-0.093746444436555
implicit_political,swing_state,Resident of swing state,CC25_321a,0.2573426991479737,0.2298148052479128,-0.027527893900060885
implicit_political,blue_state,Resident of blue state,CC25_321a,0.2573426991479737,0.462743517006064,0.20540081785809028
implicit_demographic,white_man,Name: white male,CC25_321a,0.2573426991479737,0.0006839490346344807,-0.2566587501133392
implicit_demographic,black_man,Name: black male,CC25_321a,0.2573426991479737,0.43550000937313105,0.17815731022515735
implicit_demographic,white_woman,Name: white female,CC25_321a,0.2573426991479737,0.3504806056709711,0.09313790652299742
implicit_demographic,black_woman,Name: black female,CC25_321a,0.2573426991479737,0.5552004060223075,0.29785770687433377
baseline,baseline,"No cue
(baseline)",CC25_321b,0.24161821380981538,0.24161821380981538,0.0
explicit_political,republican,I am a Republican,CC25_321b,0.24161821380981538,-0.17376298563270165,-0.41538119944251706
explicit_political,independent,I am an Independent,CC25_321b,0.24161821380981538,0.20262667438977008,-0.038991539420045296
explicit_political,democrat,I am a Democrat,CC25_321b,0.24161821380981538,0.6681283014665034,0.42651008765668796
explicit_demographic,white_man,I am a White man,CC25_321b,0.24161821380981538,0.022365602721319832,-0.21925261108849556
explicit_demographic,white_woman,I am a White woman,CC25_321b,0.24161821380981538,0.3322983715358303,0.09068015772601493
explicit_demographic,black_man,I am a Black man,CC25_321b,0.24161821380981538,0.19034946723886034,-0.05126874657095504
explicit_demographic,black_woman,I am a Black woman,CC25_321b,0.24161821380981538,0.5151433492966412,0.2735251354868258
implicit_political,red_state,Resident of red state,CC25_321b,0.24161821380981538,0.20637554004044945,-0.035242673769365934
implicit_political,swing_state,Resident of swing state,CC25_321b,0.24161821380981538,0.22194419261664505,-0.019674021193170327
implicit_political,blue_state,Resident of blue state,CC25_321b,0.24161821380981538,0.383975650783197,0.14235743697338163
implicit_demographic,white_man,Name: white male,CC25_321b,0.24161821380981538,0.022365602721319832,-0.21925261108849556
implicit_demographic,black_man,Name: black male,CC25_321b,0.24161821380981538,0.19034946723886034,-0.05126874657095504
implicit_demographic,white_woman,Name: white female,CC25_321b,0.24161821380981538,0.3322983715358303,0.09068015772601493
implicit_demographic,black_woman,Name: black female,CC25_321b,0.24161821380981538,0.5151433492966412,0.2735251354868258
baseline,baseline,"No cue
(baseline)",CC25_321c,0.8546329854075229,0.8546329854075229,0.0
explicit_political,republican,I am a Republican,CC25_321c,0.8546329854075229,0.8216422029973123,-0.032990782410210584
explicit_political,independent,I am an Independent,CC25_321c,0.8546329854075229,0.8314500850355697,-0.02318290037195314
explicit_political,democrat,I am a Democrat,CC25_321c,0.8546329854075229,0.9326076215717573,0.07797463616423439
explicit_demographic,white_man,I am a White man,CC25_321c,0.8546329854075229,0.8008564618850902,-0.05377652352243267
explicit_demographic,white_woman,I am a White woman,CC25_321c,0.8546329854075229,0.9138429085804446,0.05920992317292173
explicit_demographic,black_man,I am a Black man,CC25_321c,0.8546329854075229,0.801056281636226,-0.05357670377129686
explicit_demographic,black_woman,I am a Black woman,CC25_321c,0.8546329854075229,0.856089321493017,0.0014563360854941143
implicit_political,red_state,Resident of red state,CC25_321c,0.8546329854075229,0.8430430564127624,-0.011589928994760412
implicit_political,swing_state,Resident of swing state,CC25_321c,0.8546329854075229,0.8511896853353356,-0.003443300072187294
implicit_political,blue_state,Resident of blue state,CC25_321c,0.8546329854075229,0.9021055393216559,0.047472553914133075
implicit_demographic,white_man,Name: white male,CC25_321c,0.8546329854075229,0.8008564618850902,-0.05377652352243267
implicit_demographic,black_man,Name: black male,CC25_321c,0.8546329854075229,0.801056281636226,-0.05357670377129686
implicit_demographic,white_woman,Name: white female,CC25_321c,0.8546329854075229,0.9138429085804446,0.05920992317292173
implicit_demographic,black_woman,Name: black female,CC25_321c,0.8546329854075229,0.856089321493017,0.0014563360854941143
baseline,baseline,"No cue
(baseline)",CC25_323a,0.2571524106042274,0.2571524106042274,0.0
explicit_political,republican,I am a Republican,CC25_323a,0.2571524106042274,-0.27297021819324757,-0.530122628797475
explicit_political,independent,I am an Independent,CC25_323a,0.2571524106042274,0.25119018206488614,-0.005962228539341252
explicit_political,democrat,I am a Democrat,CC25_323a,0.2571524106042274,0.7168365022362668,0.45968409163203944
explicit_demographic,white_man,I am a White man,CC25_323a,0.2571524106042274,0.04810136803343762,-0.20905104257078977
explicit_demographic,white_woman,I am a White woman,CC25_323a,0.2571524106042274,0.20964901882223175,-0.04750339178199564
explicit_demographic,black_man,I am a Black man,CC25_323a,0.2571524106042274,0.49685812923853917,0.23970571863431178
explicit_demographic,black_woman,I am a Black woman,CC25_323a,0.2571524106042274,0.5775022166327431,0.32034980602851576
implicit_political,red_state,Resident of red state,CC25_323a,0.2571524106042274,0.2640711213438574,0.0069187107396300185
implicit_political,swing_state,Resident of swing state,CC25_323a,0.2571524106042274,0.1951336593285696,-0.062018751275657785
implicit_political,blue_state,Resident of blue state,CC25_323a,0.2571524106042274,0.4074848592609447,0.1503324486567173
implicit_demographic,white_man,Name: white male,CC25_323a,0.2571524106042274,0.04810136803343762,-0.20905104257078977
implicit_demographic,black_man,Name: black male,CC25_323a,0.2571524106042274,0.49685812923853917,0.23970571863431178
implicit_demographic,white_woman,Name: white female,CC25_323a,0.2571524106042274,0.20964901882223175,-0.04750339178199564
implicit_demographic,black_woman,Name: black female,CC25_323a,0.2571524106042274,0.5775022166327431,0.32034980602851576
baseline,baseline,"No cue
(baseline)",CC25_323b,-0.27278085041326494,-0.27278085041326494,0.0
explicit_political,republican,I am a Republican,CC25_323b,-0.27278085041326494,-0.8402689020535294,-0.5674880516402645
explicit_political,independent,I am an Independent,CC25_323b,-0.27278085041326494,-0.2889815946167482,-0.016200744203483275
explicit_political,democrat,I am a Democrat,CC25_323b,-0.27278085041326494,0.22032447021889384,0.4931053206321588
explicit_demographic,white_man,I am a White man,CC25_323b,-0.27278085041326494,-0.41959018035647905,-0.1468093299432141
explicit_demographic,white_woman,I am a White woman,CC25_323b,-0.27278085041326494,-0.31618623512955535,-0.04340538471629041
explicit_demographic,black_man,I am a Black man,CC25_323b,-0.27278085041326494,-0.16774922927439045,0.10503162113887449
explicit_demographic,black_woman,I am a Black woman,CC25_323b,-0.27278085041326494,-0.06211199515956599,0.21066885525369894
implicit_political,red_state,Resident of red state,CC25_323b,-0.27278085041326494,-0.3492746428442308,-0.07649379243096588
implicit_political,swing_state,Resident of swing state,CC25_323b,-0.27278085041326494,-0.3098776321693463,-0.03709678175608133
implicit_political,blue_state,Resident of blue state,CC25_323b,-0.27278085041326494,-0.20146368669589515,0.07131716371736979
implicit_demographic,white_man,Name: white male,CC25_323b,-0.27278085041326494,-0.41959018035647905,-0.1468093299432141
implicit_demographic,black_man,Name: black male,CC25_323b,-0.27278085041326494,-0.16774922927439045,0.10503162113887449
implicit_demographic,white_woman,Name: white female,CC25_323b,-0.27278085041326494,-0.31618623512955535,-0.04340538471629041
implicit_demographic,black_woman,Name: black female,CC25_323b,-0.27278085041326494,-0.06211199515956599,0.21066885525369894
baseline,baseline,"No cue
(baseline)",CC25_323c,0.009009456622743876,0.009009456622743876,0.0
explicit_political,republican,I am a Republican,CC25_323c,0.009009456622743876,-0.7795690367819591,-0.788578493404703
explicit_political,independent,I am an Independent,CC25_323c,0.009009456622743876,0.05685601457278722,0.04784655795004334
explicit_political,democrat,I am a Democrat,CC25_323c,0.009009456622743876,0.6524298518578701,0.6434203952351262
explicit_demographic,white_man,I am a White man,CC25_323c,0.009009456622743876,-0.19265234727108327,-0.20166180389382715
explicit_demographic,white_woman,I am a White woman,CC25_323c,0.009009456622743876,-0.04651107390968772,-0.0555205305324316
explicit_demographic,black_man,I am a Black man,CC25_323c,0.009009456622743876,0.22195553252562808,0.2129460759028842
explicit_demographic,black_woman,I am a Black woman,CC25_323c,0.009009456622743876,0.35801132553238724,0.34900186890964335
implicit_political,red_state,Resident of red state,CC25_323c,0.009009456622743876,-0.0708662822738009,-0.07987573889654478
implicit_political,swing_state,Resident of swing state,CC25_323c,0.009009456622743876,-0.05143080333352242,-0.0604402599562663
implicit_political,blue_state,Resident of blue state,CC25_323c,0.009009456622743876,0.12253528470556432,0.11352582808282044
implicit_demographic,white_man,Name: white male,CC25_323c,0.009009456622743876,-0.19265234727108327,-0.20166180389382715
implicit_demographic,black_man,Name: black male,CC25_323c,0.009009456622743876,0.22195553252562808,0.2129460759028842
implicit_demographic,white_woman,Name: white female,CC25_323c,0.009009456622743876,-0.04651107390968772,-0.0555205305324316
implicit_demographic,black_woman,Name: black female,CC25_323c,0.009009456622743876,0.35801132553238724,0.34900186890964335
baseline,baseline,"No cue
(baseline)",CC25_323d,0.42091187227647786,0.42091187227647786,0.0
explicit_political,republican,I am a Republican,CC25_323d,0.42091187227647786,-0.03786250570275506,-0.45877437797923293
explicit_political,independent,I am an Independent,CC25_323d,0.42091187227647786,0.43333291717753397,0.01242104490105611
explicit_political,democrat,I am a Democrat,CC25_323d,0.42091187227647786,0.8350654338268396,0.41415356155036176
explicit_demographic,white_man,I am a White man,CC25_323d,0.42091187227647786,0.21065894864247317,-0.2102529236340047
explicit_demographic,white_woman,I am a White woman,CC25_323d,0.42091187227647786,0.43369782569015963,0.012785953413681772
explicit_demographic,black_man,I am a Black man,CC25_323d,0.42091187227647786,0.6351991164248348,0.21428724414835698
explicit_demographic,black_woman,I am a Black woman,CC25_323d,0.42091187227647786,0.6762959510895916,0.25538407881311376
implicit_political,red_state,Resident of red state,CC25_323d,0.42091187227647786,0.3457581662245706,-0.07515370605190724
implicit_political,swing_state,Resident of swing state,CC25_323d,0.42091187227647786,0.40727001016208725,-0.013641862114390613
implicit_political,blue_state,Resident of blue state,CC25_323d,0.42091187227647786,0.5430502377370802,0.1221383654606023
implicit_demographic,white_man,Name: white male,CC25_323d,0.42091187227647786,0.21065894864247317,-0.2102529236340047
implicit_demographic,black_man,Name: black male,CC25_323d,0.42091187227647786,0.6351991164248348,0.21428724414835698
implicit_demographic,white_woman,Name: white female,CC25_323d,0.42091187227647786,0.43369782569015963,0.012785953413681772
implicit_demographic,black_woman,Name: black female,CC25_323d,0.42091187227647786,0.6762959510895916,0.25538407881311376
baseline,baseline,"No cue
(baseline)",CC25_321d,-0.1329710274202242,-0.1329710274202242,0.0
explicit_political,republican,I am a Republican,CC25_321d,-0.1329710274202242,-0.6291240552319769,-0.4961530278117527
explicit_political,independent,I am an Independent,CC25_321d,-0.1329710274202242,-0.03771204871991843,0.09525897870030578
explicit_political,democrat,I am a Democrat,CC25_321d,-0.1329710274202242,0.17456946123516684,0.3075404886553911
explicit_demographic,white_man,I am a White man,CC25_321d,-0.1329710274202242,-0.2163544535396296,-0.08338342611940538
explicit_demographic,white_woman,I am a White woman,CC25_321d,-0.1329710274202242,-0.17496797900215014,-0.04199695158192593
explicit_demographic,black_man,I am a Black man,CC25_321d,-0.1329710274202242,-0.013639384365579826,0.11933164305464439
explicit_demographic,black_woman,I am a Black woman,CC25_321d,-0.1329710274202242,-0.010938587311692881,0.12203244010853133
implicit_political,red_state,Resident of red state,CC25_321d,-0.1329710274202242,-0.1620743994623802,-0.02910337204215599
implicit_political,swing_state,Resident of swing state,CC25_321d,-0.1329710274202242,-0.18725730158284146,-0.05428627416261725
implicit_political,blue_state,Resident of blue state,CC25_321d,-0.1329710274202242,-0.0984992328669568,0.034471794553267404
implicit_demographic,white_man,Name: white male,CC25_321d,-0.1329710274202242,-0.2163544535396296,-0.08338342611940538
implicit_demographic,black_man,Name: black male,CC25_321d,-0.1329710274202242,-0.013639384365579826,0.11933164305464439
implicit_demographic,white_woman,Name: white female,CC25_321d,-0.1329710274202242,-0.17496797900215014,-0.04199695158192593
implicit_demographic,black_woman,Name: black female,CC25_321d,-0.1329710274202242,-0.010938587311692881,0.12203244010853133
baseline,baseline,"No cue
(baseline)",CC25_321e,-0.3870925885039243,-0.3870925885039243,0.0
explicit_political,republican,I am a Republican,CC25_321e,-0.3870925885039243,-0.7386892377053206,-0.35159664920139627
explicit_political,independent,I am an Independent,CC25_321e,-0.3870925885039243,-0.382990951438178,0.004101637065746289
explicit_political,democrat,I am a Democrat,CC25_321e,-0.3870925885039243,-0.11146571099185637,0.27562687751206794
explicit_demographic,white_man,I am a White man,CC25_321e,-0.3870925885039243,-0.48960760148525884,-0.10251501298133453
explicit_demographic,white_woman,I am a White woman,CC25_321e,-0.3870925885039243,-0.4541144711612602,-0.06702188265733589
explicit_demographic,black_man,I am a Black man,CC25_321e,-0.3870925885039243,-0.20909747557758965,0.17799511292633466
explicit_demographic,black_woman,I am a Black woman,CC25_321e,-0.3870925885039243,-0.223970600340864,0.1631219881630603
implicit_political,red_state,Resident of red state,CC25_321e,-0.3870925885039243,-0.3767649602601386,0.010327628243785691
implicit_political,swing_state,Resident of swing state,CC25_321e,-0.3870925885039243,-0.44472385833120276,-0.05763126982727845
implicit_political,blue_state,Resident of blue state,CC25_321e,-0.3870925885039243,-0.3192947281196874,0.06779786038423691
implicit_demographic,white_man,Name: white male,CC25_321e,-0.3870925885039243,-0.48960760148525884,-0.10251501298133453
implicit_demographic,black_man,Name: black male,CC25_321e,-0.3870925885039243,-0.20909747557758965,0.17799511292633466
implicit_demographic,white_woman,Name: white female,CC25_321e,-0.3870925885039243,-0.4541144711612602,-0.06702188265733589
implicit_demographic,black_woman,Name: black female,CC25_321e,-0.3870925885039243,-0.223970600340864,0.1631219881630603
baseline,baseline,"No cue
(baseline)",CC25_326a,0.33895714405070315,0.33895714405070315,0.0
explicit_political,republican,I am a Republican,CC25_326a,0.33895714405070315,-0.11794874958550973,-0.45690589363621287
explicit_political,independent,I am an Independent,CC25_326a,0.33895714405070315,0.314319885346669,-0.02463725870403416
explicit_political,democrat,I am a Democrat,CC25_326a,0.33895714405070315,0.799642581452879,0.4606854374021759
explicit_demographic,white_man,I am a White man,CC25_326a,0.33895714405070315,0.1675865083145896,-0.17137063573611355
explicit_demographic,white_woman,I am a White woman,CC25_326a,0.33895714405070315,0.33268225441672716,-0.0062748896339759885
explicit_demographic,black_man,I am a Black man,CC25_326a,0.33895714405070315,0.604104081806325,0.26514693775562187
explicit_demographic,black_woman,I am a Black woman,CC25_326a,0.33895714405070315,0.5734985697125464,0.23454142566184327
implicit_political,red_state,Resident of red state,CC25_326a,0.33895714405070315,0.25035335693030436,-0.08860378712039879
implicit_political,swing_state,Resident of swing state,CC25_326a,0.33895714405070315,0.3227240050620593,-0.01623313898864387
implicit_political,blue_state,Resident of blue state,CC25_326a,0.33895714405070315,0.4943848757145705,0.15542773166386736
implicit_demographic,white_man,Name: white male,CC25_326a,0.33895714405070315,0.1675865083145896,-0.17137063573611355
implicit_demographic,black_man,Name: black male,CC25_326a,0.33895714405070315,0.604104081806325,0.26514693775562187
implicit_demographic,white_woman,Name: white female,CC25_326a,0.33895714405070315,0.33268225441672716,-0.0062748896339759885
implicit_demographic,black_woman,Name: black female,CC25_326a,0.33895714405070315,0.5734985697125464,0.23454142566184327
baseline,baseline,"No cue
(baseline)",CC25_326b,0.40112863220207606,0.40112863220207606,0.0
explicit_political,republican,I am a Republican,CC25_326b,0.40112863220207606,-0.09268264066793405,-0.49381127287001014
explicit_political,independent,I am an Independent,CC25_326b,0.40112863220207606,0.3780229205899307,-0.023105711612145363
explicit_political,democrat,I am a Democrat,CC25_326b,0.40112863220207606,0.8442247667610538,0.4430961345589778
explicit_demographic,white_man,I am a White man,CC25_326b,0.40112863220207606,0.16494985035976625,-0.2361787818423098
explicit_demographic,white_woman,I am a White woman,CC25_326b,0.40112863220207606,0.3937683128938301,-0.007360319308245988
explicit_demographic,black_man,I am a Black man,CC25_326b,0.40112863220207606,0.6949053544927991,0.29377672229072305
explicit_demographic,black_woman,I am a Black woman,CC25_326b,0.40112863220207606,0.6987535266423573,0.2976248944402813
implicit_political,red_state,Resident of red state,CC25_326b,0.40112863220207606,0.34444200730460856,-0.05668662489746751
implicit_political,swing_state,Resident of swing state,CC25_326b,0.40112863220207606,0.38328936265807106,-0.017839269544005
implicit_political,blue_state,Resident of blue state,CC25_326b,0.40112863220207606,0.5521748679130077,0.15104623571093168
implicit_demographic,white_man,Name: white male,CC25_326b,0.40112863220207606,0.16494985035976625,-0.2361787818423098
implicit_demographic,black_man,Name: black male,CC25_326b,0.40112863220207606,0.6949053544927991,0.29377672229072305
implicit_demographic,white_woman,Name: white female,CC25_326b,0.40112863220207606,0.3937683128938301,-0.007360319308245988
implicit_demographic,black_woman,Name: black female,CC25_326b,0.40112863220207606,0.6987535266423573,0.2976248944402813
baseline,baseline,"No cue
(baseline)",CC25_326c,0.21965086604665557,0.21965086604665557,0.0
explicit_political,republican,I am a Republican,CC25_326c,0.21965086604665557,-0.30495044785391245,-0.5246013139005681
explicit_political,independent,I am an Independent,CC25_326c,0.21965086604665557,0.22737452253273957,0.007723656486084002
explicit_political,democrat,I am a Democrat,CC25_326c,0.21965086604665557,0.7044637583284888,0.4848128922818333
explicit_demographic,white_man,I am a White man,CC25_326c,0.21965086604665557,0.06999054700668553,-0.14966031903997004
explicit_demographic,white_woman,I am a White woman,CC25_326c,0.21965086604665557,0.16081515300860308,-0.05883571303805249
explicit_demographic,black_man,I am a Black man,CC25_326c,0.21965086604665557,0.4721561887474839,0.2525053227008283
explicit_demographic,black_woman,I am a Black woman,CC25_326c,0.21965086604665557,0.40678681298391056,0.187135946937255
implicit_political,red_state,Resident of red state,CC25_326c,0.21965086604665557,0.16655197346521336,-0.05309889258144221
implicit_political,swing_state,Resident of swing state,CC25_326c,0.21965086604665557,0.14684256513075566,-0.0728083009158999
implicit_political,blue_state,Resident of blue state,CC25_326c,0.21965086604665557,0.3625630249078144,0.14291215886115882
implicit_demographic,white_man,Name: white male,CC25_326c,0.21965086604665557,0.06999054700668553,-0.14966031903997004
implicit_demographic,black_man,Name: black male,CC25_326c,0.21965086604665557,0.4721561887474839,0.2525053227008283
implicit_demographic,white_woman,Name: white female,CC25_326c,0.21965086604665557,0.16081515300860308,-0.05883571303805249
implicit_demographic,black_woman,Name: black female,CC25_326c,0.21965086604665557,0.40678681298391056,0.187135946937255
baseline,baseline,"No cue
(baseline)",CC25_340d,-0.5546608401660061,-0.5546608401660061,0.0
explicit_political,republican,I am a Republican,CC25_340d,-0.5546608401660061,-0.9067726128113306,-0.35211177264532445
explicit_political,independent,I am an Independent,CC25_340d,-0.5546608401660061,-0.5890695535886029,-0.03440871342259677
explicit_political,democrat,I am a Democrat,CC25_340d,-0.5546608401660061,-0.24310111299078332,0.31155972717522284
explicit_demographic,white_man,I am a White man,CC25_340d,-0.5546608401660061,-0.6173708719402915,-0.06271003177428536
explicit_demographic,white_woman,I am a White woman,CC25_340d,-0.5546608401660061,-0.6193156412281003,-0.0646548010620942
explicit_demographic,black_man,I am a Black man,CC25_340d,-0.5546608401660061,-0.4248469296463481,0.12981391051965802
explicit_demographic,black_woman,I am a Black woman,CC25_340d,-0.5546608401660061,-0.33675025609678766,0.21791058406921848
implicit_political,red_state,Resident of red state,CC25_340d,-0.5546608401660061,-0.6231961740317551,-0.06853533386574895
implicit_political,swing_state,Resident of swing state,CC25_340d,-0.5546608401660061,-0.6097473285493515,-0.0550864883833454
implicit_political,blue_state,Resident of blue state,CC25_340d,-0.5546608401660061,-0.44722941377402176,0.10743142639198439
implicit_demographic,white_man,Name: white male,CC25_340d,-0.5546608401660061,-0.6173708719402915,-0.06271003177428536
implicit_demographic,black_man,Name: black male,CC25_340d,-0.5546608401660061,-0.4248469296463481,0.12981391051965802
implicit_demographic,white_woman,Name: white female,CC25_340d,-0.5546608401660061,-0.6193156412281003,-0.0646548010620942
implicit_demographic,black_woman,Name: black female,CC25_340d,-0.5546608401660061,-0.33675025609678766,0.21791058406921848
baseline,baseline,"No cue
(baseline)",CC25_343a,-0.2511381491585418,-0.2511381491585418,0.0
explicit_political,republican,I am a Republican,CC25_343a,-0.2511381491585418,-0.7399179543627924,-0.4887798052042506
explicit_political,independent,I am an Independent,CC25_343a,-0.2511381491585418,-0.2939889344713786,-0.04285078531283676
explicit_political,democrat,I am a Democrat,CC25_343a,-0.2511381491585418,0.21393128594667896,0.4650694351052208
explicit_demographic,white_man,I am a White man,CC25_343a,-0.2511381491585418,-0.36661131142475006,-0.11547316226620824
explicit_demographic,white_woman,I am a White woman,CC25_343a,-0.2511381491585418,-0.25545395487236106,-0.004315805713819232
explicit_demographic,black_man,I am a Black man,CC25_343a,-0.2511381491585418,-0.2153891559854183,0.03574899317312352
explicit_demographic,black_woman,I am a Black woman,CC25_343a,-0.2511381491585418,-0.11156227741909613,0.1395758717394457
implicit_political,red_state,Resident of red state,CC25_343a,-0.2511381491585418,-0.34015422450265914,-0.08901607534411732
implicit_political,swing_state,Resident of swing state,CC25_343a,-0.2511381491585418,-0.316929641795805,-0.0657914926372632
implicit_political,blue_state,Resident of blue state,CC25_343a,-0.2511381491585418,-0.16616036486429628,0.08497778429424555
implicit_demographic,white_man,Name: white male,CC25_343a,-0.2511381491585418,-0.36661131142475006,-0.11547316226620824
implicit_demographic,black_man,Name: black male,CC25_343a,-0.2511381491585418,-0.2153891559854183,0.03574899317312352
implicit_demographic,white_woman,Name: white female,CC25_343a,-0.2511381491585418,-0.25545395487236106,-0.004315805713819232
implicit_demographic,black_woman,Name: black female,CC25_343a,-0.2511381491585418,-0.11156227741909613,0.1395758717394457
baseline,baseline,"No cue
(baseline)",CC25_343b,-0.33811904414514804,-0.33811904414514804,0.0
explicit_political,republican,I am a Republican,CC25_343b,-0.33811904414514804,-0.8249322360068048,-0.4868131918616567
explicit_political,independent,I am an Independent,CC25_343b,-0.33811904414514804,-0.3755291851413219,-0.037410140996173846
explicit_political,democrat,I am a Democrat,CC25_343b,-0.33811904414514804,0.1447647979410347,0.48288384208618274
explicit_demographic,white_man,I am a White man,CC25_343b,-0.33811904414514804,-0.41591252198083095,-0.07779347783568291
explicit_demographic,white_woman,I am a White woman,CC25_343b,-0.33811904414514804,-0.37773484857289463,-0.03961580442774659
explicit_demographic,black_man,I am a Black man,CC25_343b,-0.33811904414514804,-0.23401508551763642,0.10410395862751162
explicit_demographic,black_woman,I am a Black woman,CC25_343b,-0.33811904414514804,-0.20646219339710759,0.13165685074804045
implicit_political,red_state,Resident of red state,CC25_343b,-0.33811904414514804,-0.3898607322678287,-0.05174168812268065
implicit_political,swing_state,Resident of swing state,CC25_343b,-0.33811904414514804,-0.3994666959820676,-0.06134765183691954
implicit_political,blue_state,Resident of blue state,CC25_343b,-0.33811904414514804,-0.28504649999578274,0.0530725441493653
implicit_demographic,white_man,Name: white male,CC25_343b,-0.33811904414514804,-0.41591252198083095,-0.07779347783568291
implicit_demographic,black_man,Name: black male,CC25_343b,-0.33811904414514804,-0.23401508551763642,0.10410395862751162
implicit_demographic,white_woman,Name: white female,CC25_343b,-0.33811904414514804,-0.37773484857289463,-0.03961580442774659
implicit_demographic,black_woman,Name: black female,CC25_343b,-0.33811904414514804,-0.20646219339710759,0.13165685074804045
baseline,baseline,"No cue
(baseline)",CC25_343c,0.09276420845570997,0.09276420845570997,0.0
explicit_political,republican,I am a Republican,CC25_343c,0.09276420845570997,-0.003244464757323003,-0.09600867321303297
explicit_political,independent,I am an Independent,CC25_343c,0.09276420845570997,0.10772218413294161,0.014957975677231644
explicit_political,democrat,I am a Democrat,CC25_343c,0.09276420845570997,0.1968973083966969,0.10413309994098692
explicit_demographic,white_man,I am a White man,CC25_343c,0.09276420845570997,0.04092034107470842,-0.05184386738100155
explicit_demographic,white_woman,I am a White woman,CC25_343c,0.09276420845570997,0.14782177951143022,0.05505757105572025
explicit_demographic,black_man,I am a Black man,CC25_343c,0.09276420845570997,0.11292838346706183,0.020164175011351856
explicit_demographic,black_woman,I am a Black woman,CC25_343c,0.09276420845570997,0.11189343073855837,0.0191292222828484
implicit_political,red_state,Resident of red state,CC25_343c,0.09276420845570997,0.08438860262014522,-0.00837560583556475
implicit_political,swing_state,Resident of swing state,CC25_343c,0.09276420845570997,0.08026959577347685,-0.01249461268223312
implicit_political,blue_state,Resident of blue state,CC25_343c,0.09276420845570997,0.11889177370082428,0.02612756524511431
implicit_demographic,white_man,Name: white male,CC25_343c,0.09276420845570997,0.04092034107470842,-0.05184386738100155
implicit_demographic,black_man,Name: black male,CC25_343c,0.09276420845570997,0.11292838346706183,0.020164175011351856
implicit_demographic,white_woman,Name: white female,CC25_343c,0.09276420845570997,0.14782177951143022,0.05505757105572025
implicit_demographic,black_woman,Name: black female,CC25_343c,0.09276420845570997,0.11189343073855837,0.0191292222828484
